Sec_Production_Company,budget,Profit,popularity
MVP Films,25000000.0,-25000000.0,3.344158
Mace Neufeld Productions,62000000.0,153887717.0,18.832470999999998
Malpaso Productions,65000000.0,63884132.0,15.772081
Mandalay Pictures,59000000.0,-1247838.5,18.647895000000002
Mandarin Films Distribution Co.,36000000.0,120844753.0,19.167377
Mandate Pictures,32000000.0,94041322.0,38.217079999999996
Mandeville Films,40000000.0,21222386.0,21.717395500000002
Marc Platt Productions,60500000.0,29302485.0,40.88330500000001
Martin Poll Productions,5000000.0,14905359.0,7.0588679999999995
Marty Katz Productions,60000000.0,-54916749.0,9.251594999999998
Marv Films,58666666.666666664,49622166.333333336,41.15579366666666
Marvel Enterprises,200000000.0,505717432.0,89.270217
Marvel Entertainment,58000000.0,725112979.0,514.5699559999999
Marvel Studios,164000000.0,542104392.8,88.92764779999999
Maverick Films,28000000.0,30795814.0,11.859396
Media Asia Films,40000000.0,-40000000.0,6.884467
Media Magik Entertainment,225000000.0,399026776.0,52.035179
Mercy Creek Entretainment,0.0,0.0,3.6448720000000003
Metro-Goldwyn-Mayer (MGM),33538397.85714286,6840139.142857143,16.274496285714285
Metropolitan Filmexport,92000000.0,51049560.0,27.166757
Mike Zoss Productions,26000000.0,45868327.0,39.742009
Milky Way Image Company,4500000.0,-4500000.0,8.48639
Millennium Films,70000000.0,76487330.5,45.56909975
Mindfire Entertainment,0.0,0.0,9.055447000000001
Miramax Films,3333333.3333333335,2432414.6666666665,5.186896333333333
Morgan Creek Productions,48333333.333333336,-14850421.666666666,15.927142333333334
Motown Productions,10000000.0,15754284.0,4.928776999999999
Moving Picture Company (MPC),170000000.0,603328629.0,481.09862400000003
Mystery Clock Cinema,50000000.0,105446362.0,32.693093
NPV Entertainment,39400000.0,26983049.0,25.177034999999997
Natural Nylon Entertainment,15000000.0,-12143288.0,21.928025
Neunte Babelsberg Film,30000000.0,33782078.0,31.191975
New Line Cinema,58700000.0,116158162.1,27.072758899999997
New Real Films,0.0,0.0,0.137535
New World Pictures,300000.0,7700000.0,6.473667
Newman/Tooley Films,36000000.0,8350926.0,19.854932
Newmarket Capital Group,57000000.0,90845033.0,21.021809
Next Day Air Productions,0.0,0.0,2.747402
Nickelodeon Movies,150000000.0,168502923.0,33.769335999999996
Nina Saxon Film Design,30000000.0,169200000.0,46.212154999999996
No Frills Film Production,11000000.0,37572000.0,32.579696999999996
No Limit Films,0.0,0.0,0.593068
No Prisoners Productions,30000000.0,-30000000.0,5.2595849999999995
Non-Stop Productions,36500000.0,-14665155.0,2.785832
None,2785185.185185185,-970556.5185185185,1.9291191851851852
North by Northwest Entertainment,6000000.0,-6000000.0,4.957014
Nu Image Films,62500000.0,41639550.5,38.9279115
O Entertainment,0.0,0.0,8.288813000000001
Off Hollywood Pictures,0.0,0.0,0.361554
Omnilab Media,66000000.0,-8222894.0,29.501489000000003
Open Road Films,33000000.0,20193049.5,39.335341
Opus Pictures,39200000.0,47558912.0,64.238688
Original Film,94500000.0,253333816.9,37.6966909
Orion Pictures,12333333.333333334,32969704.666666668,26.468881666666665
Overbrook Films,65000000.0,91974557.0,38.994296999999996
Overnight Films,12000000.0,3008161.0,29.072964000000002
Pacific Film and Television Commission,20000000.0,2165608.0,7.679336
Pacific Western,64850000.0,130895288.75,49.253082250000006
Parallel Films,0.0,0.0,1.8218400000000001
Paramount Pictures,20863636.363636363,51445184.27272727,15.230002000000002
Paul Schiff Productions,10000000.0,-10000000.0,10.073144000000001
Pegasus Film Partners,30000000.0,15892212.0,11.196019999999999
Perfect World Pictures,115000000.0,49602163.0,60.467983999999994
Permut Presentations,80000000.0,165676146.0,46.075037
Phoenix Wiley,6500000.0,-6500000.0,2.074295
Pixar Animation Studios,92000000.0,539442092.0,77.817571
Point Grey Pictures,44000000.0,-31657368.0,74.16801600000001
Polygram Filmed Entertainment,55750000.0,114152364.5,26.528004000000003
Premiere Entertainment Group,8000000.0,-8000000.0,2.101718
Prime Focus,280000000.0,1125403694.0,134.27922900000002
Producers Circle,45000000.0,261776732.0,32.217425
Pt. Merantau Films,1100000.0,3005187.0,40.285095
Pull Down Your Pants Pictures,40000000.0,47840042.0,19.833664000000002
Punch Productions,50000000.0,139859560.0,30.397496000000004
QED International,35000000.0,-17491482.0,27.903999
Quinta Communications,67000000.0,-41696962.0,12.282911
RKO Pictures,90000000.0,-90000000.0,6.643778
RKO Radio Pictures,0.0,0.0,0.042442
Radar Pictures,105000000.0,10772733.0,27.835435999999998
Rainforest Films,28500000.0,83026757.0,23.47021
Rastar Pictures,0.0,0.0,3.199904
Regency Enterprises,27666666.666666668,42038999.666666664,17.781802000000003
Relativity Media,22750000.0,-938236.75,17.05118075
Reliance BIG Entertainment,50000000.0,42765286.0,50.562098999999996
Reliance Entertainment,66000000.0,137277636.0,54.814890000000005
Republic Pictures,6000000.0,-5130675.0,1.478505
Republic Pictures (I),1000000.0,6800000.0,3.8510000000000004
Revolution Studios,71500000.0,24116192.0,25.965395
Riche-Ludwig Productions,30000000.0,61709827.0,65.364452
Robert Simonds Productions,0.0,0.0,5.359381
Rodin Entertainment,7500000.0,-7500000.0,4.943588
